t,x,y,z
1735187285.671234,-0.02314927,-6.562477e-05,-0.0005324776
1735187285.6824598,-0.023203483,-5.608058e-05,-0.0005344527
1735187285.6935558,-0.023214936,-5.377055e-05,-0.0005342711
1735187285.704637,-0.023209505,-5.355623e-05,-0.00053381
1735187285.716465,-0.023187635,-5.5471435e-05,-0.0005334173
1735187285.727024,-0.023168445,-5.7023077e-05,-0.0005321684
1735187285.7381558,-0.023142288,-5.9396552e-05,-0.0005306491
1735187285.749118,-0.023110209,-6.294157e-05,-0.0005302313
1735187285.7604551,-0.023112351,-6.261631e-05,-0.00052962394
1735187285.771223,-0.023128055,-6.105576e-05,-0.000529716
1735187285.7824368,-0.023156453,-5.803007e-05,-0.0005316614
1735187285.793525,-0.023157604,-5.5823824e-05,-0.000530706
1735187285.8047972,-0.023151878,-5.3181313e-05,-0.00052976323
1735187285.815956,-0.023139497,-5.009753e-05,-0.0005289527
1735187285.826647,-0.023125352,-4.9555092e-05,-0.0005287127
1735187285.837746,-0.023106923,-5.0111674e-05,-0.0005287097
1735187285.8490782,-0.023084322,-5.2062678e-05,-0.0005281895
1735187285.86006,-0.023063783,-5.2569318e-05,-0.0005284798
1735187285.871097,-0.023042174,-5.326944e-05,-0.0005287044
1735187285.882261,-0.023019766,-5.3902913e-05,-0.0005294162
1735187285.893366,-0.023003759,-5.4812583e-05,-0.000529101
1735187285.90464,-0.022990504,-5.5929646e-05,-0.0005288371
1735187285.915674,-0.02298078,-5.6715216e-05,-0.0005277635
1735187285.9266748,-0.023000497,-5.8618723e-05,-0.0005282401
1735187285.937724,-0.023036499,-6.10376e-05,-0.0005289679
1735187285.948947,-0.023087353,-6.387674e-05,-0.00052915193
1735187285.960058,-0.023112074,-6.4798696e-05,-0.0005294769
1735187285.971102,-0.023131646,-6.495649e-05,-0.0005293495
1735187285.9822822,-0.023145908,-6.398402e-05,-0.0005286642
1735187285.993355,-0.023148043,-6.370118e-05,-0.00052852347
1735187286.004346,-0.023141691,-6.308332e-05,-0.0005284123
1735187286.015633,-0.023127008,-6.15574e-05,-0.00052761275
1735187286.026682,-0.023116503,-6.0050283e-05,-0.0005282193
1735187286.0377522,-0.02310387,-5.8050267e-05,-0.00052899314
1735187286.0490432,-0.023089737,-5.5702287e-05,-0.0005292763
1735187286.060068,-0.023096735,-5.5662473e-05,-0.00052968145
1735187286.071068,-0.023113381,-5.654781e-05,-0.0005299022
1735187286.0825272,-0.023138847,-5.7766043e-05,-0.0005302221
1735187286.093732,-0.0231458,-5.9248996e-05,-0.00053037837
1735187286.104656,-0.023148198,-6.094924e-05,-0.0005304741
1735187286.115919,-0.0231463,-6.2096165e-05,-0.0005306437
1735187286.126731,-0.023145692,-6.155064e-05,-0.0005308017
1735187286.137693,-0.02314335,-5.987275e-05,-0.0005309175
1735187286.148838,-0.023138724,-5.783484e-05,-0.0005297991
1735187286.159863,-0.023103716,-5.8658654e-05,-0.0005298559
1735187286.1709008,-0.023052713,-6.089738e-05,-0.000529499
1735187286.182036,-0.022987349,-6.449554e-05,-0.0005278358
1735187286.193176,-0.022960193,-6.432342e-05,-0.0005274204
1735187286.20427,-0.022944357,-6.317708e-05,-0.0005268163
1735187286.215413,-0.022939598,-6.182364e-05,-0.0005250201
1735187286.226447,-0.022934126,-6.125227e-05,-0.00052551855
1735187286.237529,-0.02293393,-6.0985447e-05,-0.00052637875
1735187286.2486548,-0.022938881,-6.107357e-05,-0.00052836246
1735187286.259845,-0.022942103,-5.963084e-05,-0.000528052
1735187286.270947,-0.022953516,-5.4331962e-05,-0.0005281816
1735187286.282042,-0.022950567,-5.525234e-05,-0.0005270673
1735187286.293087,-0.022943825,-5.7526693e-05,-0.00052560004
1735187286.304493,-0.02293329,-6.135693e-05,-0.00052386406
1735187286.315393,-0.02294707,-5.8931182e-05,-0.0005212892
1735187286.326499,-0.022969747,-5.392707e-05,-0.0005219408
1735187286.337698,-0.023002831,-4.6111e-05,-0.0005229555
1735187286.348823,-0.023025695,-4.6062167e-05,-0.00052343414
1735187286.359849,-0.023049219,-4.851533e-05,-0.00052274624
1735187286.37089,-0.023073023,-5.355198e-05,-0.00052223064
1735187286.382055,-0.023075163,-5.3150055e-05,-0.0005238271
1735187286.3933768,-0.023067825,-5.1589624e-05,-0.00052300654
1735187286.4044418,-0.023050305,-4.879787e-05,-0.00052219554
1735187286.415402,-0.02304382,-5.0840375e-05,-0.00052148534
1735187286.4265718,-0.023036612,-5.3433003e-05,-0.00052158994
1735187286.437515,-0.023029318,-5.7332218e-05,-0.0005220459
1735187286.448697,-0.023027472,-5.7254685e-05,-0.0005232271
1735187286.4597878,-0.023028042,-5.7436064e-05,-0.0005241131
1735187286.4708471,-0.023031287,-5.694991e-05,-0.0005253274
1735187286.482044,-0.02304189,-5.6115096e-05,-0.00052655966
1735187286.4931068,-0.023057232,-5.541992e-05,-0.0005272504
1735187286.504246,-0.023077434,-5.4214208e-05,-0.0005279034
1735187286.515494,-0.023050938,-5.4945936e-05,-0.0005283622
1735187286.526472,-0.023006383,-5.6258636e-05,-0.00052829896
1735187286.537653,-0.022944367,-5.7827332e-05,-0.00052777684
1735187286.548806,-0.022935633,-5.7191704e-05,-0.00052797335
1735187286.559684,-0.022943934,-5.560933e-05,-0.00052833534
1735187286.570836,-0.022969315,-5.299632e-05,-0.0005290214
1735187286.581998,-0.022976458,-5.2924035e-05,-0.0005294459
1735187286.593087,-0.022984935,-5.4365373e-05,-0.00052882347
1735187286.604432,-0.022993578,-5.6752062e-05,-0.00052793813
1735187286.6155748,-0.022992503,-5.5454206e-05,-0.0005284438
1735187286.626477,-0.022987297,-5.2704352e-05,-0.0005288467
1735187286.637543,-0.022977589,-4.8658694e-05,-0.0005295089
1735187286.649137,-0.022978093,-5.0236587e-05,-0.00052867556
1735187286.660088,-0.022980645,-5.3590396e-05,-0.0005286553
1735187286.670812,-0.022985753,-5.90547e-05,-0.00052850915
1735187286.681979,-0.022988398,-6.061874e-05,-0.0005258774
1735187286.693118,-0.022991475,-5.8530888e-05,-0.00052497396
1735187286.7041368,-0.022995083,-5.4902037e-05,-0.00052361435
1735187286.7153702,-0.023016775,-5.3995103e-05,-0.00052237214
1735187286.726821,-0.023046797,-5.1802257e-05,-0.0005224685
1735187286.737561,-0.023085458,-4.9513874e-05,-0.00052270695
