id,hash_a,hash_b,hash_c,hash_d,vector_abc,vector_abd,vector_acd,vector_bcd
2111,105015,501540,154010,401050,[ 45 -45  20],[ 70 -75  60],[ 35 -50  30],[-45  20 -20]
2112,105015,501545,154510,451050,[ 45 -40  25],[ 75 -75  65],[ 40 -45  30],[-40  25 -30]
2113,105020,50200,20010,01050,[ 50 -80 -30],[ 30 -70  10],[  0 -90  20],[-80 -30  60]
2114,105020,50205,20510,51050,[ 50 -75 -25],[ 35 -70  15],[  5 -85  20],[-75 -25  50]
2115,105020,502015,201510,151050,[ 50 -65 -15],[ 45 -70  25],[ 15 -75  20],[-65 -15  30]
2116,105020,502025,202510,251050,[ 50 -55  -5],[ 55 -70  35],[ 25 -65  20],[-55  -5  10]
2117,105020,502030,203010,301050,[ 50 -50   0],[ 60 -70  40],[ 30 -60  20],[-50   0   0]
2118,105020,502035,203510,351050,[ 50 -45   5],[ 65 -70  45],[ 35 -55  20],[-45   5 -10]
2119,105020,502040,204010,401050,[ 50 -40  10],[ 70 -70  50],[ 40 -50  20],[-40  10 -20]
2120,105020,502045,204510,451050,[ 50 -35  15],[ 75 -70  55],[ 45 -45  20],[-35  15 -30]
2121,105025,50250,25010,01050,[ 32 -48  10],[ 30 -88  50],[-18 -40  10],[-98  56 -40]
2122,105025,50255,25510,51050,[ 55 -70 -35],[ 35 -65   5],[ 10 -85  10],[-70 -35  50]
2123,105025,502515,251510,151050,[ 55 -60 -25],[ 45 -65  15],[ 20 -75  10],[-60 -25  30]
2124,105025,502520,252010,201050,[ 55 -55 -20],[ 50 -65  20],[ 25 -70  10],[-55 -20  20]
2125,105025,502530,253010,301050,[ 55 -45 -10],[ 60 -65  30],[ 35 -60  10],[-45 -10   0]
2126,105025,502535,253510,351050,[ 55 -40  -5],[ 65 -65  35],[ 40 -55  10],[-40  -5 -10]
2127,105025,502540,254010,401050,[ 55 -35   0],[ 70 -65  40],[ 45 -50  10],[-35   0 -20]
2128,105025,502545,254510,451050,[ 55 -30   5],[ 75 -65  45],[ 50 -45  10],[-30   5 -30]
2129,105030,50300,30010,01050,[ 60 -70 -50],[ 30 -60 -10],[ 10 -90   0],[-70 -50  60]
2130,105030,50305,30510,51050,[ 60 -65 -45],[ 35 -60  -5],[ 15 -85   0],[-65 -45  50]
2131,105030,503015,301510,151050,[ 60 -55 -35],[ 45 -60   5],[ 25 -75   0],[-55 -35  30]
2132,105030,503020,302010,201050,[ 60 -50 -30],[ 50 -60  10],[ 30 -70   0],[-50 -30  20]
2133,105030,503025,302510,251050,[ 60 -45 -25],[ 55 -60  15],[ 35 -65   0],[-45 -25  10]
2134,105030,503035,303510,351050,[ 60 -35 -15],[ 65 -60  25],[ 45 -55   0],[-35 -15 -10]
2135,105030,503040,304010,401050,[ 60 -30 -10],[ 70 -60  30],[ 50 -50   0],[-30 -10 -20]
2136,105030,503045,304510,451050,[ 60 -25  -5],[ 75 -60  35],[ 55 -45   0],[-25  -5 -30]
2137,105035,50350,35010,01050,[ 33 -47 -10],[ 30 -87  30],[-17 -40 -10],[-97  54 -40]
2138,105035,50355,35510,51050,[ 65 -60 -55],[ 35 -55 -15],[ 20 -85 -10],[-60 -55  50]
2139,105035,503515,351510,151050,[ 65 -50 -45],[ 45 -55  -5],[ 30 -75 -10],[-50 -45  30]
2140,105035,503520,352010,201050,[ 65 -45 -40],[ 50 -55   0],[ 35 -70 -10],[-45 -40  20]
2141,105035,503525,352510,251050,[ 65 -40 -35],[ 55 -55   5],[ 40 -65 -10],[-40 -35  10]
2142,105035,503530,353010,301050,[ 65 -35 -30],[ 60 -55  10],[ 45 -60 -10],[-35 -30   0]
2143,105035,503540,354010,401050,[ 65 -25 -20],[ 70 -55  20],[ 55 -50 -10],[-25 -20 -20]
2144,105035,503545,354510,451050,[ 65 -20 -15],[ 75 -55  25],[ 60 -45 -10],[-20 -15 -30]
2145,105040,50400,40010,01050,[ 70 -60 -70],[ 30 -50 -30],[ 20 -90 -20],[-60 -70  60]
2146,105040,50405,40510,51050,[ 70 -55 -65],[ 35 -50 -25],[ 25 -85 -20],[-55 -65  50]
2147,105040,504015,401510,151050,[ 70 -45 -55],[ 45 -50 -15],[ 35 -75 -20],[-45 -55  30]
2148,105040,504020,402010,201050,[ 70 -40 -50],[ 50 -50 -10],[ 40 -70 -20],[-40 -50  20]
2149,105040,504025,402510,251050,[ 70 -35 -45],[ 55 -50  -5],[ 45 -65 -20],[-35 -45  10]
2150,105040,504030,403010,301050,[ 70 -30 -40],[ 60 -50   0],[ 50 -60 -20],[-30 -40   0]
2151,105040,504035,403510,351050,[ 70 -25 -35],[ 65 -50   5],[ 55 -55 -20],[-25 -35 -10]
2152,105040,504045,404510,451050,[ 70 -15 -25],[ 75 -50  15],[ 65 -45 -20],[-15 -25 -30]
2153,105045,50450,45010,01050,[ 34 -46 -30],[ 30 -86  10],[-16 -40 -30],[-96  52 -40]
2154,105045,50455,45510,51050,[ 75 -50 -75],[ 35 -45 -35],[ 30 -85 -30],[-50 -75  50]
2155,105045,504515,451510,151050,[ 75 -40 -65],[ 45 -45 -25],[ 40 -75 -30],[-40 -65  30]
2156,105045,504520,452010,201050,[ 75 -35 -60],[ 50 -45 -20],[ 45 -70 -30],[-35 -60  20]
2157,105045,504525,452510,251050,[ 75 -30 -55],[ 55 -45 -15],[ 50 -65 -30],[-30 -55  10]
2158,105045,504530,453010,301050,[ 75 -25 -50],[ 60 -45 -10],[ 55 -60 -30],[-25 -50   0]
2159,105045,504535,453510,351050,[ 75 -20 -45],[ 65 -45  -5],[ 60 -55 -30],[-20 -45 -10]
2160,105045,504540,454010,401050,[ 75 -15 -40],[ 70 -45   0],[ 65 -50 -30],[-15 -40 -20]
2161,1505,0510,51015,10150,[  3 -85  15],[  8 -94  50],[ 13 -89  55],[15  1 45]
2162,1505,0520,52015,20150,[  3 -75  25],[ 18 -94  60],[ 23 -79  55],[25 11 25]
2163,1505,0525,52515,25150,[  3 -70  30],[ 23 -94  65],[ 28 -74  55],[30 16 15]
2164,1505,0530,53015,30150,[  3 -65  35],[ 28 -94  70],[ 33 -69  55],[35 21  5]
2165,1505,0535,53515,35150,[  3 -60  40],[ 33 -94  75],[ 38 -64  55],[40 26 -5]
2166,1505,0540,54015,40150,[  3 -55  45],[ 38 -94  80],[ 43 -59  55],[ 45  31 -15]
